TagName,obs
MCLC_Pri_Ret_Pressao01.valorMax,
MCLC_Pri_Ret_Pressao01.valorMin,
MCLC_Disp01.contador,ponto dpto
MCLC_Disp02.contador,ponto dpto
MCLC_Disp03.contador,ponto dpto
MCLC_Disp05.contador,ponto dpto
MCLC_A13_C00_FC02.VAG,foi integrado o ponto.
MCLC_Disp04.contador,ponto dpto
MCLC_Disp06.contador,ponto dpto
MCLC_Disp08.contador,ponto dpto
MCLC_Disp09.contador,ponto dpto
MCLC_Disp11.contador,ponto dpto
MCLC_Disp13.contador,ponto dpto
MCLC_Ch01_Ali_AG_Pressao.valor,
MCLC_Ch01_Ret_AG_Pressao.valor,
MCLC_Ch02_Ali_AG_Pressao.valor,
MCLC_Ch02_Ret_AG_Pressao.valor,
MCLC_Chiller01.prAltaComp01,
MCLC_Chiller01.prAltaComp02,
MCLC_Chiller01.prAltaComp03,
MCLC_Chiller01.prAltaComp04,
MCLC_Chiller01.prAltaComp05,
MCLC_Chiller01.prBaixaComp01,
MCLC_Chiller01.prBaixaComp02,
MCLC_Chiller01.prBaixaComp03,
MCLC_Chiller01.prBaixaComp04,
MCLC_Chiller01.prBaixaComp05,
MCLC_Chiller02.prAltaComp01,
MCLC_Chiller02.prAltaComp02,
MCLC_Chiller02.prAltaComp03,
MCLC_Chiller02.prAltaComp04,
MCLC_Chiller02.prAltaComp05,
MCLC_Chiller02.prBaixaComp01,
MCLC_Chiller02.prBaixaComp02,
MCLC_Chiller02.prBaixaComp03,
MCLC_Chiller02.prBaixaComp04,
MCLC_Chiller02.prBaixaComp05,
MCLC_A09_C00_FC02.VAG,
MCLC_ACom_T00_C00_CL01.confiabilidade,
MCLC_ACom_T00_C00_CL02.confiabilidade,
MCLC_ACom_T00_C00_CL03.confiabilidade,
MCLC_ACom_T00_C00_CL04.confiabilidade,
MCLC_ACom_T00_C00_CL05.confiabilidade,
MCLC_ACom_T00_C00_CL06.confiabilidade,
?MCLC_ACom_T00_C01_CL06.confiabilidade,
MCLC_Escada01_Vent01.frequencia,
MCLC_Disp01_Control08.estado02,
MCLC_Disp01_Control16.estado02,
MCLC_A09_C00_VAV02.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.Vazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.VazaoMax,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV03.VazaoMin,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV04.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV04.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV04.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV05.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV05.SPTemp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV05.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV05.VazaoMax,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.Vazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.VazaoMax,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV06.VazaoMin,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV08.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV08.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV08.SPTemp,valores zerados no supervisorio e referencia perdida no coletor
